Dimension,Lower Bound,Upper Bound
NASA-TLX,38.72727274545455,55.09090909090908
Mental Demand,30.454545454545453,69.0909090909091
Temporal Demand,30.454545454545453,62.72727272727273
Performance,26.363636363636363,57.72727272727273
Effort,34.54545454545455,59.54545454545455
Frustration,35.45454545454545,63.63636363636363
